player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Tyrese Haliburton,halibty01,2023,RS,IND,1575,731,6.440946326180466,-1.059637320952038,5.381309005228428,3.269790623263555,-5.103390000155818,-1.833599376892263,6.200336648076158,-1.936118100230714,4.264218547845444,2.614869756837173,2.614869756837173,0,4.392845241850526,-1.832993984090901,2.559851257759625,-.0436110405109014
Jordan Hall,halljo02,2023,RS,SAS,176,83,-7.922153083624937,-9.221556971735982,-17.14371005536092,-10.16747870088012,1.972106425913586,-8.195372274966532,-8.74849694468954,-7.330408021283608,-16.07890496597315,-.5620067462411131,-.5620067462411131,0,-7.711493247957325,-8.192255070999835,-15.90374831895716,-.435466829690949
R.J. Hampton,hamptrj01,2023,RS,ORL,670,320,1.435276130468195,.852403938111435,2.28768006857963,-.9766009076467527,-.0993431460107826,-1.075944053657535,1.050999316906664,.7622472645360761,1.81324658144274,.7458474330404654,.7458474330404654,0,.4326560975606801,-1.008786408440354,-.5761303108796736,.1133055464987323
Tim Hardaway Jr.,hardati02,2023,RS,DAL,1083,526,.3678076170922296,.2572599352020112,.6250675522942408,2.210503829845465,3.542402937794173,5.752906767639638,.7529871336134424,.9348737686461925,1.687860902259635,1.201348641709799,1.201348641709799,0,.5959674527081216,1.120038733050375,1.716006185758497,.8827458110860916
James Harden,hardeja01,2023,RS,PHI,656,331,5.280149559322422,1.530280522372222,6.810430081694644,2.038829522891807,-.8737290053479851,1.165100517543821,4.932987037107542,1.09620043803256,6.029187475140102,1.465674247601892,1.465674247601892,0,4.627166930828864,.9922989748110757,5.619465905639939,-1.155860401815905
Jaden Hardy,hardyja02,2023,RS,DAL,39,17,-9.866953240758214,-4.63723286949908,-14.50418611025729,-9.856736732610162,5.084708090224812,-4.772028642385351,-10.59266234575318,-3.001444443193309,-13.59410678894649,-.0962724085518351,-.0962724085518351,0,-8.560183878988365,-2.404835690885391,-10.96501956987376,2.387239407423535
Ron Harper Jr.,harpero02,2023,RS,TOR,15,8,11.39233557483849,.6639013025806405,12.05623687741913,27.26951109194948,-6.195245347252243,21.07426574469724,15.39637693629852,-.7396039448046497,14.65677299149387,.0689042095409592,.0689042095409592,0,11.94564040859112,-3.329954708000747,8.615685700590372,-3.055038272463786
Montrezl Harrell,harremo01,2023,RS,PHI,491,235,-1.364286609514243,2.752988814402846,1.388702204888603,.9038085355986218,-3.203243728460548,-2.299435192861926,-.9656021381277808,1.61625863752444,.6506564993966588,.4088584593677079,.4088584593677079,0,-2.444266255692581,.8014482294655474,-1.642818026227034,.2806560814037498
Gary Harris,harriga01,2023,RS,ORL,317,155,1.974877535416552,-.9634676633659442,1.011409872050608,4.144536098053132,-8.407604861413684,-4.263068763360552,2.580299456917904,-2.517547265237057,.0627521916808469,.222019633309109,.222019633309109,0,2.432197540521038,-3.074897000258169,-.6426994597371318,-.1892270167187548
Joe Harris,harrijo01,2023,RS,BRK,1252,600,-1.404226643072322,-1.848603960773541,-3.252830603845863,-2.745306654411471,2.621992849436305,-.1233138049751656,-1.776384921723782,-1.043512359287525,-2.819897281011307,-.0214526117631732,-.0214526117631732,0,-1.476929471913828,-.5489085586689164,-2.025838030582745,.263419685710578
